Customer_ID,First_Name,Last_Name,Age,Gender,Marital_Status,Education,Occupation,City,State,Employment_Status,Annual_Income,Monthly_Income,Customer_Since,Customer_Segment,Risk_Profile
CUST104767,Baljiwan,Dua,33,Male,Widowed,Graduate,Salaried - Private,Chennai,Tamil Nadu,Employed,2342767.07,195230.59,12,Young Professionals,High
CUST100501,Rayaan,Prabhu,33,Male,,Post Graduate,Salaried - Private,Chandigarh,Punjab,Employed,1656917.86,138076.49,2,Young Professionals,Medium
CUST104066,Nicholas,Rout,25,Male,Single,,Self Employed,Kolkata,West Bengal,Self Employed,2143521.95,178626.83,7,Young Professionals,High
CUST100333,Ishaan,Patel,69,Male,Widowed,Graduate,Retired,Bhubaneswar,Odisha,Retired,314420.23,26201.69,15,Retired Customers,Low
CUST104684,Imaran,Chahal,40,Male,Married,Post Graduate,Salaried - Private,Bhubaneswar,Odisha,Employed,1162606.55,96883.88,15,Business Owners,Medium
CUST100486,Neelima,Narain,22,Female,Divorced,Graduate,Homemaker,Jaipur,Rajasthan,Not Employed,27724.01,2310.33,4,Young Professionals,Medium
CUST101962,Victor,Narula,71,Male,Married,Graduate,Retired,Bhopal,Madhya Pradesh,Retired,924239.85,77019.99,15,Retired Customers,Low
CUST100393,Mitali,Rattan,27,Female,Divorced,Post Graduate,Salaried - Government,Jaipur,Rajasthan,Employed,718852.4,59904.37,,Young Professionals,Medium
CUST104842,Chanakya,Bansal,61,Male,Single,Graduate,Retired,Ahmedabad,Gujarat,Retired,508570.1,42380.84,8,Retired Customers,Low
CUST104866,Chandresh,Sawhney,68,Male,Married,Doctorate,Retired,Udaipur,Rajasthan,Retired,656802.01,54733.5,11,Retired Customers,Low
CUST101755,Adya,Agrawal,29,Female,Divorced,Doctorate,Homemaker,Lucknow,Uttar Pradesh,Not Employed,66128.21,5510.68,9,Young Professionals,Medium
CUST102515,Ishanvi,Devi,39,Female,Married,Graduate,Business Owner,Kolkata,West Bengal,Self Employed,5626337.15,468861.43,3,High Net Worth Individuals,High
CUST103585,Aditya,Sami,24,Male,Divorced,Graduate,Freelancer,Delhi,Delhi,Self Employed,548388.2,45699.02,3,Young Professionals,High
CUST104315,Diya,Mahal,22,Female,Widowed,High School,Unemployed,Lucknow,Uttar Pradesh,Not Employed,11700.83,975.07,4,Young Professionals,Medium
CUST104966,Bina,Kale,57,Female,Married,High School,Business Owner,Raipur,Chhattisgarh,Self Employed,3374377.93,281198.16,13,High Net Worth Individuals,High
CUST102099,Warda,Raj,29,Female,Married,Post Graduate,Salaried - Private,Nashik,Maharashtra,Employed,2133290.19,,11,Young Professionals,High
CUST103599,Pranit,Sodhi,40,Male,Divorced,Doctorate,Business Owner,Chandigarh,Punjab,Self Employed,9956266.21,829688.85,5,High Net Worth Individuals,High
CUST104121,Bahadurjit,Kamdar,40,Male,Divorced,Diploma,Salaried - Private,Raipur,,Employed,989790.2,82482.52,4,,Medium
CUST100029,Jagrati,Loke,30,Female,Single,Post Graduate,Business Owner,Dehradun,Uttarakhand,Self Employed,4397317.13,366443.09,8,High Net Worth Individuals,High
CUST100065,Wishi,Bahl,66,Female,Divorced,Graduate,Retired,Mysuru,,Retired,668758.34,55729.86,17,Retired Customers,
CUST100838,Oscar,Venkataraman,31,Male,Single,Post Graduate,Salaried - Government,Kochi,Kerala,Employed,1658925.93,138243.83,13,Young Professionals,Medium
CUST103906,Oviya,Mistry,21,Female,Married,Graduate,Unemployed,Indore,Madhya Pradesh,Not Employed,10590.97,882.58,3,Young Professionals,Medium
CUST103773,Bhavani,Nadkarni,35,Female,Married,Diploma,Business Owner,Thiruvananthapuram,Kerala,Self Employed,9711867.52,809322.29,7,High Net Worth Individuals,High
CUST104635,Ekiya,Srinivasan,63,Female,Widowed,Diploma,Retired,Bhubaneswar,Odisha,Retired,656416.43,54701.37,16,Retired Customers,Low
CUST103161,Mohini,Manne,21,Female,Widowed,Graduate,Salaried - Private,Pune,Maharashtra,Employed,769200.49,64100.04,3,Young Professionals,Medium
CUST102659,Amol,Magar,63,Male,Single,Diploma,Self Employed,Lucknow,Uttar Pradesh,Self Employed,1870352.08,155862.67,3,Business Owners,Medium
CUST104615,Gaurang,Gulati,40,Male,Widowed,High School,Self Employed,Guwahati,Assam,Self Employed,1794537.84,149544.82,10,Business Owners,High
CUST104628,Dayamai,Arya,42,,Married,High School,Salaried - Government,Delhi,Delhi,Employed,788093.21,65674.43,4,Business Owners,Medium
CUST102451,Yamini,Saraf,47,Female,Married,Post Graduate,Self Employed,Pune,Maharashtra,Self Employed,1822429.3,151869.11,4,Business Owners,Medium
CUST102846,Abha,Sabharwal,33,Female,Widowed,Graduate,Business Owner,Vadodara,Gujarat,Self Employed,15427143.96,1285595.33,15,High Net Worth Individuals,High
CUST101144,Ekbal,Rao,57,Male,Single,High School,Business Owner,Bhubaneswar,Odisha,Self Employed,8147673.04,678972.75,19,High Net Worth Individuals,High
CUST103078,Lucky,Shah,47,Male,Single,Post Graduate,Business Owner,Kanpur,Uttar Pradesh,Self Employed,9824743.8,818728.65,5,High Net Worth Individuals,High
CUST101103,Ekiya,Suresh,32,Female,Divorced,Graduate,Salaried - Private,Ludhiana,Punjab,Employed,1527931.15,127327.6,14,Young Professionals,Medium
CUST100168,Kashish,Gaba,24,Female,Married,Graduate,Salaried - Private,Indore,Madhya Pradesh,Employed,666283.95,55523.66,6,Young Professionals,Medium
CUST101670,Gabriel,Hans,72,Male,Divorced,Graduate,Retired,Bengaluru,Karnataka,Retired,601253.91,50104.49,11,Retired Customers,Low
CUST102570,Umang,Bakshi,62,Male,Single,Post Graduate,Retired,Coimbatore,Tamil Nadu,Retired,537384.96,44782.08,2,Retired Customers,Low
CUST102377,Amol,Jaggi,65,Male,Single,Graduate,,Chennai,Tamil Nadu,Retired,660629.03,55052.42,1,Retired Customers,Low
CUST104395,Lakshmi,Lad,29,Female,Widowed,Graduate,Salaried - Private,Bhubaneswar,Odisha,Employed,759014.3,63251.19,,Young Professionals,Medium
CUST104257,Sai,Dewan,27,Male,Single,High School,Salaried - Government,Bhubaneswar,Odisha,Employed,1299752.42,108312.7,4,Young Professionals,Medium
CUST103862,Ojas,Venkatesh,35,Male,Widowed,Doctorate,Freelancer,Udaipur,Rajasthan,Self Employed,662421.85,55201.82,1,Young Professionals,Medium
CUST100023,Jhalak,Mann,64,Female,Divorced,Graduate,Retired,Mysuru,Karnataka,Retired,193774.2,16147.85,12,Retired Customers,Low
CUST102633,Pushti,Kala,45,Female,,Graduate,Salaried - Government,Hyderabad,Telangana,Employed,1505713.1,125476.09,14,Business Owners,Medium
CUST103340,Kiaan,Mangat,36,Male,Married,Post Graduate,Salaried - Private,Coimbatore,Tamil Nadu,Employed,1562113.22,130176.1,7,Business Owners,Medium
CUST102215,Kamya,Sankaran,45,Female,Divorced,Graduate,Self Employed,Thiruvananthapuram,Kerala,Self Employed,1593939.19,132828.27,2,Business Owners,Medium
CUST103682,Kamala,Palla,67,Female,,Graduate,Retired,Lucknow,Uttar Pradesh,Retired,1141821.85,95151.82,11,Retired Customers,Low
CUST104724,Rohan,Gour,60,Male,Divorced,,Salaried - Private,Kanpur,Uttar Pradesh,Employed,1310519.19,109209.93,4,Business Owners,Medium
CUST101907,Ishani,Bali,42,,Married,High School,Salaried - Private,Ludhiana,Punjab,Employed,1400104.78,,17,Business Owners,Medium
CUST100084,Jyoti,Bir,,Female,Widowed,Graduate,Self Employed,Lucknow,Uttar Pradesh,Self Employed,913979.76,76164.98,15,Business Owners,Medium
CUST100227,Vedant,Deol,,Male,Single,Diploma,Unemployed,Chennai,Tamil Nadu,Not Employed,85899.19,7158.27,4,Young Professionals,Medium
CUST100296,Ganga,Saran,23,Female,Single,Graduate,Salaried - Government,Guwahati,Assam,Employed,1235945.32,,,Young Professionals,Medium
CUST101001,Vansha,Wable,45,Female,Married,Post Graduate,Self Employed,Surat,Gujarat,Self Employed,9616.15,801.35,16,Business Owners,High
CUST102138,Isha,Vasa,44,Female,Married,Graduate,Self Employed,Mumbai,Maharashtra,Self Employed,1038359.33,86529.94,15,Business Owners,High
CUST100711,Quincy,Chauhan,22,Male,Divorced,Graduate,Student,Pune,Maharashtra,Not Employed,53032.06,4419.34,4,Students,Medium
CUST102801,Max,Lad,55,Male,Divorced,Diploma,Self Employed,Kochi,Kerala,Self Employed,933692.62,77807.72,16,Business Owners,Medium
CUST102527,Forum,Guha,47,Female,Divorced,Graduate,Salaried - Government,,Uttar Pradesh,Employed,,79139.16,20,,Medium
CUST103752,Triya,Bajwa,35,Female,Divorced,Graduate,Salaried - Private,Chennai,Tamil Nadu,Employed,,214245.43,2,Young Professionals,High
CUST103321,Balvan,Mittal,,Male,Widowed,Graduate,Salaried - Private,Lucknow,Uttar Pradesh,Employed,719936.69,59994.72,3,Young Professionals,Medium
CUST103181,Wriddhish,Pall,28,Male,Single,,Salaried - Private,Kochi,Kerala,,1419361.56,118280.13,10,Young Professionals,High
CUST104183,Bimala,Nath,21,Female,Divorced,Graduate,Salaried - Private,Guwahati,Assam,Employed,1537076.8,128089.73,,Young Professionals,High
CUST101615,Karan,Kara,41,Male,Divorced,High School,Salaried - Private,Jaipur,Rajasthan,Employed,2004217.6,167018.13,7,Business Owners,High
CUST103024,Aadi,Bobal,32,Male,Single,High School,Salaried - Private,Delhi,Delhi,Employed,2231500.54,185958.38,14,Young Professionals,High
CUST101413,Tanish,Magar,21,Male,Widowed,Graduate,Salaried - Government,Lucknow,Uttar Pradesh,Employed,752954.09,62746.17,3,Young Professionals,Medium
CUST100763,Irya,Barman,45,Female,Married,Graduate,Homemaker,Ludhiana,Punjab,Not Employed,30880.56,2573.38,2,Business Owners,Low
CUST100655,Vedhika,Seth,55,Female,Widowed,Post Graduate,Self Employed,Ahmedabad,,Self Employed,1911312.12,159276.01,20,Business Owners,Medium
CUST104797,Chakradhar,Palla,62,Male,Divorced,Graduate,Retired,Hyderabad,Telangana,Retired,762139.74,63511.64,4,Retired Customers,Low
CUST103849,Indali,Natt,45,Female,Married,Post Graduate,Salaried - Private,Kanpur,Uttar Pradesh,Employed,1332263.43,111021.95,14,Business Owners,Medium
CUST104153,Hemani,Sathe,35,Female,Widowed,Doctorate,Self Employed,Chennai,Tamil Nadu,Self Employed,1530480.08,127540.01,17,Business Owners,High
CUST100468,Orinder,Mistry,25,Male,Single,Doctorate,,Ranchi,Jharkhand,Self Employed,2925736.55,243811.38,7,Young Professionals,High
CUST100157,Vaishnavi,Sane,35,Female,Widowed,,Salaried - Government,Delhi,Delhi,Employed,790698.94,65891.58,12,Young Professionals,Medium
CUST101295,Janani,Sandal,26,Female,Divorced,Graduate,Salaried - Private,,Kerala,Employed,676654.34,56387.86,8,Young Professionals,
CUST100497,Chakradev,Rana,43,Male,Married,High School,Business Owner,Nagpur,Maharashtra,Self Employed,5632213.51,469351.13,13,High Net Worth Individuals,High
CUST104740,Krish,Chada,42,Male,,Post Graduate,Salaried - Private,Kochi,Kerala,Employed,1816020.22,151335.02,7,Business Owners,Medium
CUST102940,Widisha,Buch,62,Female,Married,High School,Retired,Kochi,Kerala,Retired,562548.33,46879.03,5,,Low
CUST103456,Yashasvi,Tailor,47,Female,Single,Graduate,Business Owner,Chandigarh,Punjab,Self Employed,9980148.43,831679.04,2,High Net Worth Individuals,High
CUST100373,Maanas,Sarna,44,Male,Single,High School,Salaried - Private,Delhi,Delhi,Employed,1163260.25,96938.35,15,Business Owners,Medium
CUST100079,Jatin,Kar,21,Male,Married,High School,Unemployed,Indore,Madhya Pradesh,Not Employed,,2519,3,Young Professionals,Medium
CUST101553,Tejas,Sur,30,,Divorced,Graduate,Salaried - Government,Indore,Madhya Pradesh,Employed,881041.83,73420.15,4,Young Professionals,Medium
CUST101669,Zaitra,Balakrishnan,47,Female,,Graduate,Salaried - Private,Surat,Gujarat,Employed,2005917.49,167159.79,19,Business Owners,Medium
CUST102131,Lekha,Kapadia,23,Female,Married,Diploma,Salaried - Private,Kanpur,Uttar Pradesh,Employed,1159525.75,96627.15,5,Young Professionals,High
CUST104439,Caleb,Mody,55,Male,Single,Diploma,Self Employed,Nashik,Maharashtra,Self Employed,607240.68,50603.39,8,Business Owners,Medium
CUST100465,Aarna,Shroff,66,Female,Divorced,Graduate,Retired,Ludhiana,Punjab,Retired,519790.43,43315.87,13,Retired Customers,
CUST100248,Robert,Bahri,43,Male,Widowed,Post Graduate,,Ranchi,Jharkhand,Not Employed,35909.34,2992.44,15,Business Owners,Low
CUST100931,Krishna,Mallick,34,Female,Widowed,Post Graduate,Business Owner,Chennai,Tamil Nadu,Self Employed,5620349.94,468362.5,12,High Net Worth Individuals,High
CUST101335,Gaurangi,Sastry,21,Female,Single,Graduate,Student,Lucknow,Uttar Pradesh,Not Employed,36837.47,3069.79,3,Students,Medium
CUST104524,Darpan,Deo,38,Male,Married,Post Graduate,Salaried - Private,Nashik,Maharashtra,Employed,1359449.57,113287.46,19,Business Owners,Medium
CUST101338,Ekaja,Mittal,65,Female,Married,Diploma,Retired,,Tamil Nadu,Retired,255090.64,21257.55,10,Retired Customers,Low
CUST101406,Abha,Devan,18,Female,Single,Graduate,Student,Ludhiana,Punjab,Not Employed,135245.81,11270.48,1,Students,Medium
CUST101090,Ishani,Prabhakar,36,Female,Married,Graduate,Unemployed,Chandigarh,Punjab,Not Employed,50767.39,4230.62,7,,Low
CUST104209,Sneha,Buch,48,,Single,Graduate,Salaried - Private,Raipur,Chhattisgarh,Employed,3051205.63,254267.14,,High Net Worth Individuals,Medium
CUST100742,Madhav,Sanghvi,18,Male,Single,Post Graduate,Unemployed,Jaipur,Rajasthan,Not Employed,38911.58,3242.63,1,Young Professionals,
CUST102323,Darsh,Kothari,18,Male,Single,Graduate,Student,Bengaluru,Karnataka,Not Employed,62886.49,5240.54,1,Students,Medium
CUST103601,Lohit,Chadha,37,Male,Divorced,Post Graduate,Freelancer,Surat,Gujarat,Self Employed,360674.59,30056.22,17,Business Owners,Medium
CUST102123,Gaurika,Chaudhry,21,Female,Single,Post Graduate,Salaried - Private,Udaipur,Rajasthan,Employed,1393511.14,116125.93,,Young Professionals,High
CUST102094,Warda,De,18,Female,Single,Post Graduate,Unemployed,Indore,Madhya Pradesh,Not Employed,39544.73,3295.39,1,Young Professionals,Medium
CUST100240,Banjeet,Devi,30,Male,Single,Graduate,,Ranchi,Jharkhand,Employed,1096346.73,91362.23,12,Young Professionals,Medium
CUST102351,Nitara,Palan,33,Female,Married,Graduate,Unemployed,Nashik,Maharashtra,Not Employed,28216.24,2351.35,15,,Low
CUST101370,Ekiya,Kota,,Female,Single,Graduate,Salaried - Private,Patna,Bihar,Employed,1681013.06,140084.42,10,Business Owners,Medium
CUST101057,Rayaan,Vohra,36,Male,Single,Graduate,Unemployed,Surat,Gujarat,Not Employed,40514.03,3376.17,8,Business Owners,Low
CUST104816,Advay,Sampath,24,Male,Divorced,Post Graduate,Salaried - Private,Jaipur,Rajasthan,Employed,1281292.32,106774.36,6,Young Professionals,High
CUST100199,Tara,Narain,43,Female,Single,,Self Employed,Vadodara,Gujarat,Self Employed,1114660.06,92888.34,5,Business Owners,High
CUST102280,Max,Anne,31,Male,Widowed,Graduate,Salaried - Private,Dehradun,Uttarakhand,Employed,2230638.7,185886.56,4,,
CUST104749,Eiravati,Chatterjee,,Female,Single,Graduate,Salaried - Private,Bhubaneswar,Odisha,Employed,1491455.14,124287.93,8,Young Professionals,High
CUST102220,Yahvi,Desai,62,Female,Divorced,Post Graduate,Retired,Delhi,Delhi,Retired,606682.9,50556.91,2,Retired Customers,Low
CUST104771,Zaid,Chandra,55,Male,Single,Graduate,Salaried - Private,Bhopal,Madhya Pradesh,Employed,1467453.46,,20,Business Owners,Medium
CUST102819,Faraj,Tandon,50,Male,Married,Graduate,Salaried - Private,Indore,Madhya Pradesh,Employed,1058851.59,88237.63,15,,Medium
CUST103150,Warda,Sarin,39,Female,Single,Post Graduate,Salaried - Government,Kolkata,West Bengal,Employed,426592.88,35549.41,14,Business Owners,Medium
CUST104256,Aadhya,Shan,25,Female,Married,Graduate,Salaried - Private,Bhopal,Madhya Pradesh,Employed,,119003.12,5,Young Professionals,High
CUST103107,Omisha,Bhakta,35,Female,Single,Post Graduate,Salaried - Private,Jaipur,Rajasthan,Employed,389349.56,32445.8,2,Young Professionals,Medium
CUST101973,Arin,Bora,40,Male,,Doctorate,Self Employed,Delhi,Delhi,Self Employed,2588787.46,215732.29,2,Business Owners,High
CUST101375,Girindra,Ramanathan,40,Male,Widowed,Post Graduate,Self Employed,Bengaluru,Karnataka,Self Employed,1702409.97,141867.5,2,Business Owners,High
CUST103968,Ekani,Chad,44,Female,Widowed,Graduate,Salaried - Private,Patna,Bihar,Employed,1930839.42,160903.29,16,Business Owners,Medium
CUST104062,Ikbal,Tak,21,Male,Single,Post Graduate,Salaried - Private,Thiruvananthapuram,Kerala,Employed,1219002.37,101583.53,3,Young Professionals,High
CUST104445,Mekhala,Tailor,65,Female,Single,Graduate,Retired,,Maharashtra,Retired,,47354.43,5,Retired Customers,Low
CUST103557,Samaksh,Sur,59,Male,Widowed,Graduate,Retired,Kanpur,Uttar Pradesh,Retired,1034951.33,86245.94,17,Retired Customers,Medium
CUST100964,Maanav,Barad,55,Male,Widowed,Graduate,Business Owner,Delhi,Delhi,Self Employed,8080686.19,673390.52,8,High Net Worth Individuals,High
CUST100179,Amaira,Hans,60,Female,Married,High School,Retired,Coimbatore,Tamil Nadu,Retired,388526.44,32377.2,5,Retired Customers,
CUST103698,Zaid,Sampath,30,Male,Married,High School,Salaried - Private,Mumbai,Maharashtra,Employed,794856.08,66238.01,5,Young Professionals,Medium
CUST103821,Rachita,Handa,,Female,Widowed,Graduate,Retired,Udaipur,Rajasthan,Retired,663625.06,55302.09,13,Retired Customers,Low
CUST104878,Kevin,Mohanty,53,Male,,Doctorate,Salaried - Private,Pune,Maharashtra,Employed,1523149.33,126929.11,10,Business Owners,Medium
CUST103899,Jagat,Tripathi,47,Male,Married,Post Graduate,Business Owner,Bengaluru,Karnataka,Self Employed,17719163.44,1476596.95,13,High Net Worth Individuals,High
CUST104487,Gavin,Yadav,37,Male,Divorced,,Salaried - Government,Ranchi,Jharkhand,Employed,1018675.71,84889.64,3,Business Owners,
CUST103238,Brijesh,Dar,31,Male,Single,Graduate,Salaried - Private,Ranchi,Jharkhand,Employed,1788045.46,149003.79,13,Young Professionals,Medium
CUST102974,Ubika,Issac,39,Female,Married,High School,Salaried - Private,Dehradun,Uttarakhand,Employed,927466.06,77288.84,3,Business Owners,Medium
CUST103580,Yachana,Mannan,40,Female,Divorced,Doctorate,Salaried - Government,Ranchi,Jharkhand,Employed,1130122.05,94176.84,8,Business Owners,Medium
CUST102887,Jeevika,Aggarwal,21,Female,Widowed,Graduate,Unemployed,,Maharashtra,Not Employed,22484.17,1873.68,3,Young Professionals,Medium
CUST102575,David,Chand,,Male,Married,Graduate,Salaried - Government,Kanpur,Uttar Pradesh,Employed,757819.63,63151.64,12,Young Professionals,Medium
CUST101419,Qarin,Dugar,44,Male,Divorced,Graduate,Business Owner,Ludhiana,Punjab,Self Employed,8174633.77,681219.48,10,High Net Worth Individuals,High
CUST103907,Shaurya,Narasimhan,80,Male,Widowed,Post Graduate,Retired,Nagpur,Maharashtra,Retired,497921.82,,17,Retired Customers,Low
CUST104673,Devansh,Gopal,19,Male,Single,Post Graduate,Student,Lucknow,Uttar Pradesh,Not Employed,63508.11,5292.34,1,Students,Medium
CUST104902,Sai,Bakshi,24,Female,Widowed,Graduate,Salaried - Government,Bhopal,Madhya Pradesh,Employed,1140296.36,95024.7,6,Young Professionals,Medium
CUST101860,Upkaar,Comar,39,Male,Widowed,Post Graduate,Self Employed,Kolkata,West Bengal,Self Employed,1839983.22,153331.93,3,Business Owners,High
CUST100008,Hardik,Saini,44,Male,Divorced,Graduate,Business Owner,Kanpur,Uttar Pradesh,Self Employed,8050997.55,670916.46,1,High Net Worth Individuals,High
CUST102894,Onkar,Buch,45,Male,Married,High School,Salaried - Government,Coimbatore,Tamil Nadu,Employed,1065368.17,88780.68,2,Business Owners,Medium
CUST102847,Chavvi,Vohra,23,Female,Single,Post Graduate,Salaried - Government,Coimbatore,Tamil Nadu,Employed,1253733.31,104477.78,1,Young Professionals,Medium
CUST103664,Anita,Yogi,80,Female,Married,Post Graduate,Retired,Pune,Maharashtra,Retired,455281.84,37940.15,5,Retired Customers,Low
CUST100144,Mason,Chawla,42,Male,Divorced,Graduate,Salaried - Private,,Karnataka,Employed,606730.9,50560.91,14,Business Owners,Medium
CUST102104,Meghana,Rege,20,Female,Single,High School,Student,Guwahati,Assam,Not Employed,13707.37,1142.28,2,Students,Medium
CUST103143,Mason,Sodhi,65,Male,Widowed,Graduate,Retired,Bengaluru,Karnataka,Retired,831583.88,69298.66,11,Retired Customers,Low
CUST100841,Mahika,Dass,23,Female,Single,Graduate,Salaried - Private,Nashik,Maharashtra,Employed,1022438.48,85203.21,2,Young Professionals,High
CUST101128,Keya,Kara,27,Female,Married,Post Graduate,Salaried - Government,Nagpur,Maharashtra,Employed,1742687.97,145224,9,Young Professionals,Medium
CUST100151,Wishi,Krishnamurthy,43,,Divorced,Doctorate,Self Employed,Udaipur,Rajasthan,Self Employed,2059725.2,171643.77,9,Business Owners,High
CUST103591,Advaith,Edwin,25,Male,Married,Graduate,Business Owner,Pune,Maharashtra,Self Employed,7819733.84,651644.49,7,High Net Worth Individuals,High
CUST101052,Indrajit,Sachdev,38,Male,Widowed,Post Graduate,Salaried - Government,Udaipur,Rajasthan,Employed,685948.6,57162.38,19,Business Owners,Medium
CUST101590,Farhan,Bera,32,Male,Divorced,Graduate,Salaried - Government,Ranchi,Jharkhand,Employed,777283.6,64773.63,2,Young Professionals,Medium
CUST103008,Zayyan,Bandi,68,Male,Widowed,Graduate,Retired,Chandigarh,Punjab,Retired,301854.3,25154.52,4,Retired Customers,Low
CUST102029,Zashil,Uppal,44,Male,Single,High School,Salaried - Private,Nashik,Maharashtra,Employed,1801280.09,150106.67,13,Business Owners,Medium
CUST103418,Chaitanya,Shere,37,Male,Married,Diploma,Salaried - Private,Vadodara,Gujarat,Employed,1081863.58,90155.3,15,,Medium
CUST101807,Naksh,Sandhu,39,Male,Married,Graduate,Salaried - Private,Indore,Madhya Pradesh,Employed,763901.34,63658.44,16,Business Owners,Medium
CUST102696,Lucky,Konda,20,Male,Single,Graduate,Student,Mysuru,Karnataka,Not Employed,81753.55,6812.8,1,Students,Medium
CUST103039,Deepa,Sridhar,28,Female,Widowed,Post Graduate,Unemployed,Bengaluru,,Not Employed,71595.71,5966.31,10,Young Professionals,Medium
CUST100472,Wyatt,Chhabra,67,Male,Single,Post Graduate,Retired,Lucknow,Uttar Pradesh,Retired,426146.21,35512.18,11,Retired Customers,Low
CUST103289,Ranveer,Chatterjee,23,Male,Widowed,Graduate,Salaried - Government,Bhopal,Madhya Pradesh,Employed,1050499.6,87541.63,3,Young Professionals,Medium
CUST104074,Rushil,Barad,21,Male,Married,Doctorate,Salaried - Private,Jaipur,Rajasthan,Employed,1962076.19,163506.35,3,Young Professionals,High
CUST103496,Wriddhish,Setty,35,Male,,Post Graduate,Salaried - Private,Guwahati,Assam,Employed,1137502.78,94791.9,16,Young Professionals,Medium
CUST100279,Janani,Shroff,38,Female,Divorced,Post Graduate,Salaried - Government,Pune,Maharashtra,Employed,900738.38,75061.53,5,,Medium
CUST101741,Ojas,Goel,40,Male,Single,Graduate,Salaried - Government,Indore,Madhya Pradesh,Employed,993404.6,82783.72,14,Business Owners,Medium
CUST104624,Daksha,Vyas,26,Female,Married,Graduate,Unemployed,Dehradun,Uttarakhand,Not Employed,50281.53,4190.13,8,Young Professionals,Medium
CUST102886,Bhavya,Zachariah,18,Female,Single,Graduate,Student,Guwahati,Assam,Not Employed,37391.04,3115.92,1,Students,Medium
CUST101941,Manan,Kamdar,28,Male,Widowed,Doctorate,Unemployed,Coimbatore,Tamil Nadu,Not Employed,23817.05,1984.75,10,Young Professionals,Medium
